License Number,License Type,Legal Business Name,D.B.A. (Doing Business As),Business Type,Medical Cannabis Retail,Social Equity Classified,Retail Site Address,Site Contact,Email,Local Authority,City,County,Site License Issued Date,License Expiration Date
MICRO-L25-001524,Microbusiness,Forrey Enterprises LLC,Lake Country Cannabis,Cultivation,N/A,Yes,N/A,James Forrey,"jim.forrey@gmail.com
forreyenterprises@gmail.com",Cass County,Pine River,Cass,8/25/2026,8/25/2027
CUL-L24-000007,Cultivator,"Blue Moose Cannabis Co., Inc.","Blue Moose Cannabis Co., Inc.",Cultivation,N/A,Yes,N/A,Gregory Bowler,"kim.l.shelton@gmail.com
greg@bluemoosebrands.com",City of Saint Cloud,Saint Cloud,Stearns,8/24/2026,8/24/2027
DIS-L24-000115,Retail,St. Croix Cannabis,10K Leaves,Retail,Yes,Yes,"14303 60th Street N, Oak Park Heights, MN 55082",Brian Gotti,"dick@stillwatertrolley.com
brian@10kleaves.com",City of Oak Park Heights,Oak Park Heights,Washington,8/24/2026,8/24/2027
MICRO-L25-000407,Microbusiness,Blooming Buds Dispensary,Blooming Buds Dispensary,Retail,No,No,"710 County Road 75 E, Unit 6, Saint Joseph, MN 56374",Kirsten Sanghera,"conrad@bloomingbudsmn.com
kirsten@bloomingbudsmn.com",City of Saint Joseph,Saint Joseph,Stearns,8/24/2026,8/24/2027
MICRO-L25-001033,Microbusiness,Droid Sent By Aliens LLC,Sent By Aliens,Cultivation,N/A,No,N/A,John McQueeney,johnbmcq@gmail.com,City of Lakeville,Lakeville,Dakota,8/24/2026,8/24/2027
MICRO-L25-001140,Microbusiness,SST LLC,SST LLC,Cultivation,N/A,No,N/A,Mary Enz,mary@stadiumheights.com,City of Mankato,Mankato,Blue Earth,8/24/2026,8/24/2027
MEZZO-L24-000098,Mezzobusiness,Dappled Dreams Inc,Dappled Dreams Inc,Cultivation,N/A,Yes,N/A,Jerome McGinty,"beckyzenzen@gmail.com
jmcginty@mboutdoor8.com",Chisago County,Harris,Chisago,8/21/2026,8/21/2027
MEZZO-L24-000113,Mezzobusiness,"Moments of Zen, Inc.","Moments of Zen, Inc.",Cultivation,N/A,Yes,N/A,Jerome McGinty,"brianzenzen@gmail.com
jmcginty@mboutdoor8.com",Chisago County,Harris,Chisago,8/21/2026,8/21/2027
MICRO-L25-000909,Microbusiness,Lake Star LLC,Zota Gardens,Cultivation/Manufacturing,N/A,No,N/A,Gabriel Basham,"lancegomez09@gmail.com
gabe@zotagardens.com",City of Saint Paul,Saint Paul,Ramsey,8/21/2026,3/11/2027
MICRO-L25-000926,Microbusiness,Scoop & Smiles Wholesale and distribution LLC,Scoop & Smiles Wholesale and distribution LLC,Manufacturing,N/A,No,N/A,Adam Yazbeck,adamyazbeck11@gmail.com,City of Ramsey,Ramsey,Anoka,8/21/2026,8/21/2027
MICRO-L25-001308,Microbusiness,"Rick's Dispensary, LLC","Rick's Dispensary, LLC",Retail,No,No,"640 Railroad Drive, Suite# 700 Norwood Young America, MN 55368",Syed Mahmood,"bousiham723@gmail.com
urfi_urfi@yahoo.com",City of Norwood Young America,Norwood Young America,Carver,8/21/2026,8/21/2027
CUL-L24-000021,Cultivator,Midwest Cannabis Cultivation Inc.,Midwest Cannabis Cultivation Inc.,Cultivation,N/A,Yes,N/A,Daniel Bergerson,Mnmetalcoatings@gmail.com,Isanti County,Cambridge,Isanti,8/20/2026,8/20/2027
CUL-L24-000036,Cultivator,"Lakeside Greens, Inc.","Lakeside Greens, Inc.",Cultivation,N/A,Yes,N/A,Jerome McGinty,"nate.browerrealestate@gmail.com
jmcginty@mboutdoor8.com",Chisago County,Harris,Chisago,8/20/2026,8/20/2027
DIS-L24-000241,Retail,My Dealer LLC,My Dealer LLC,Retail,No,Yes,"243 3rd Street N, Bayport, MN 55003",Brandon Van Asten,brandon@mydealermn.com,City of Bayport,Bayport,Washington,8/20/2026,8/20/2027
MICRO-L25-001226,Microbusiness,Frigid Farms LLC,Frigid Farms LLC,Cultivation,N/A,No,N/A,Aaron Onsrud,frigidfarms@gmail.com,City of Corcoran,Corcoran,Hennepin,8/20/2026,8/20/2027
MEZZO-L24-000357,Mezzobusiness,Zonka Farms Inc.,Zonka Farms Inc.,Cultivation,N/A,Yes,N/A,Chris Martin,houseofcardmn@gmail.com,City of Mankato,Mankato,Blue Earth,8/19/2026,8/19/2027
MFR-L25-000037,Manufacturer,evergreen cannabis LLC,evergreen cannabis LLC,Manufacturing,N/A,No,N/A,Hunter Langdon,"anthony.yousif@jarscannabis.com
hunter@cheekyextracts.com",City of Cannon Falls,Cannon Falls,Goodhue,8/19/2026,8/19/2027
EVENT-26-000005,Event Organizer,Legacy Events LLC,Legacy Events LLC,Event Organizer,N/A,No,N/A,Joshua Wilken-Simon,josh@legacy-mn.com,City of Minneapolis,Minneapolis,Hennepin,8/18/2026,9/27/2026
DEL-L25-000025,Delivery Service,Joint Ventures Delivery LLC,Pot on the Spot Delivery,Delivery Service,N/A,No,N/A,Rory Theng,rory.theng@gmail.com,City of Minneapolis,Minneapolis,Hennepin,8/17/2026,8/17/2027
MICRO-L24-000011,Microbusiness,Northwoods Herb LLC,Northwoods Herb LLC,Cultivation,N/A,Yes,N/A,Scott Grossinger,grossinger.scott@gmail.com,Pine County,Hinckley,Pine,8/17/2026,8/17/2027
MICRO-L25-001221,Microbusiness,Barbs Greenery LLC,Barbs Greenery LLC,Cultivation,N/A,No,N/A,Jay Williams,barbsgreenery@gmail.com,Waseca County,Waseca,Waseca,8/17/2026,8/17/2027
MEZZO-L24-000249,Mezzobusiness,"Green Voyager, LLC","Green Voyager, LLC",Cultivation,N/A,Yes,N/A,Jaylen Hisgun,hisgunjaylen26@gmail.com,City of Mankato,Mankato,Blue Earth,8/14/2026,8/14/2027
MEZZO-L25-000007,Mezzobusiness,Minnesota Joint Ventures LLC,Minnesota Joint Ventures LLC,Cultivation,N/A,No,N/A,Andrew Sereno,"rxsully801@yahoo.com
andrew@glaciercanna.com",City of Mankato,Mankato,Blue Earth,8/13/2026,8/13/2027
MICRO-L25-001564,Microbusiness,Earthtone LLC,Earthtone LLC,Cultivation,N/A,No,N/A,Tyler Brown,greenlakefishermen@hotmail.com,Chisago County,Taylors Falls,Chisago,8/13/2026,8/13/2027
DIS-L24-000062,Retail,OUIDHAUS LLC,Super Canna,Retail,Yes,Yes,"5335 E Frontage Road, Rochester, MN 55901",Pamela Kapple,"pamelakapple@mncanna.org
pamela@myappmgmt.com",City of Rochester,Rochester,Olmsted,8/12/2026,10/22/2026
MICRO-L25-000814,Microbusiness,THCHOUSE LLC,THCHOUSE LLC,Manufacturing,N/A,No,N/A,Thomas Andreen,"contact@cbdhousemn.com
contact@thchouse.com",City of Bloomington,Bloomington,Hennepin,8/12/2026,8/12/2027
MICRO-L25-000814,Microbusiness,THCHOUSE LLC,THCHOUSE LLC,Retail,No,No,"2100 W Old Shakopee Road, Bloomington, MN 55431",Thomas Andreen,"contact@cbdhousemn.com
contact@thchouse.com",City of Bloomington,Bloomington,Hennepin,8/12/2026,8/12/2027
MICRO-L25-000948,Microbusiness,Casting Coast Light LLC,Casting Coast Light LLC,Retail,Yes,Yes,"803 18th Ave NW, Austin, MN 55912",Larry Kapple,"Larrykapple@yahoo.com
larry@myappmgmt.com",City of Austin,Austin,Mower,8/12/2026,8/12/2027
MICRO-L25-001301,Microbusiness,Black Ice Companies LLC,Black Ice Companies LLC,Cultivation,N/A,No,N/A,Angela Rosenfeldt,angela.rosenfeldt@gmail.com,City of Moorhead,Moorhead,Clay,8/12/2026,8/12/2027
MICRO-L25-000463,Microbusiness,"Power Plant Cannabis Shop III, LLC","Power Plant Cannabis Shop III, LLC",Cultivation,N/A,No,N/A,Brett Corbin,"micci@mjweisslaw.com
brett@kingallium.com",Wild Rice County,Twin Valley,Wild Rice,8/11/2026,8/11/2027
MICRO-L25-001149,Microbusiness,The Bridge MN LLC,The Bridge MN LLC,Retail,No,No,"366 Bench Street, Taylors Falls, MN 55084",Buck Duncan,duncanbuck0913@gmail.com,City of Taylors Falls,Taylors Falls,Chisago,8/11/2026,8/11/2027
MICRO-L24-000211,Microbusiness,Doctor Dabs Corporation,Dabney's Cannabis Co.,Retail/Manufacturing,No,Yes,"5152 Hiawatha Avenue, Minneapolis, MN 55417",Clemon Dabney,dabne003@gmail.com,City of Minneapolis,Minneapolis,Hennepin,8/10/2026,3/30/2027
MICRO-L25-000622,Microbusiness,High Point Gardens L.L.C.,High Point Gardens L.L.C.,Cultivation,N/A,No,N/A,Joshua Adams,HighPointGardensMN@gmail.com,City of Corcoran,Corcoran,Hennepin,8/10/2026,8/10/2027
MICRO-L25-001166,Microbusiness,IFN LLC,IFN LLC,Cultivation,N/A,No,N/A,Daniel Nourie,danann565@charter.net,City of Mankato,Mankato,Blue Earth,8/10/2026,8/10/2027
CUL-L24-000001,Cultivator,Hill Cultivation Inc.,Hill Cultivation Inc.,Cultivation,N/A,Yes,N/A,Jerome McGinty,"d.hill1993@gmail.com
jmcginty@mboutdoor8.com",Chisago County,Harris,Chisago,8/7/2026,8/7/2027
MICRO-L25-000340,Microbusiness,ACE Cannabis LLC,B52 Cannabis,Cultivation,N/A,No,N/A,David Kunert,dkunert54@gmail.com,City of Mankato,Mankato,Blue Earth,8/7/2026,8/7/2027
DIS-L25-000045,Retail,SARCASTIC AF LLC,Pot Mamas,Retail,No,Yes,"6445 Lake Road Terrace, Unit 100 Woodbury, MN 55125",Erin Pash,"shaynaa13@gmail.com
erin@pot-mamas.com",City of Woodbury,Woodbury,Washington,8/6/2026,12/26/2026
DIS-L25-000258,Retail,Marvel Experience LLC,High Society Dispensary,Retail,No,No,"8045 County Line Road SE, Suite B Delano, MN 55328",Niel Patel,"swlerdahl@gmail.com
niel@flippinbills.com",City of Delano,Delano,Wright,8/6/2026,8/6/2027
MICRO-L25-000475,Microbusiness,Power Plant Cannabis Shop XII LLC,Power Plant Cannabis Shop XII LLC,Cultivation,N/A,No,N/A,Scott Musoff,micci@mjweisslaw.com,City of Mankato,Mankato,Blue Earth,8/6/2026,8/6/2027
MICRO-L25-000478,Microbusiness,Power Plant Cannabis Shop XV LLC,Power Plant Cannabis Shop XV LLC,Cultivation,N/A,No,N/A,Jack Bell,"micci@mjweisslaw.com
jack@kindlymn.com",City of Mankato,Mankato,Blue Earth,8/6/2026,8/6/2027
MICRO-L25-000479,Microbusiness,Power Plant Cannabis Shop XVI LLC,Power Plant Cannabis Shop XVI LLC,Cultivation,N/A,No,N/A,Micah Coppleson,micci@mjweisslaw.com,City of Mankato,Mankato,Blue Earth,8/6/2026,8/6/2027
MICRO-L25-001523,Microbusiness,LimeLine LLC,LimeLine LLC,Cultivation,N/A,No,N/A,Cat Franklin,"shakelamcgee@ymail.com
c7@catherineseven.com",City of Isanti,Isanti,Isanti,8/6/2026,8/6/2027
CUL-L24-000009,Cultivator,"TH3RAPY, Inc.","TH3RAPY, Inc.",Cultivation,N/A,Yes,N/A,Jerome McGinty,"gabbyabby2008@hotmail.com
jmcginty@mboutdoor8.com",Chisago County,Harris,Chisago,8/5/2026,8/5/2027
MICRO-L24-000486,Microbusiness,NEXT LEVEL PRODUCTIONS INC,NEXT LEVEL PRODUCTIONS INC,Cultivation,N/A,Yes,N/A,Thomas Adlesich,t_adlesich@yahoo.com,City of Mankato,Mankato,Blue Earth,8/5/2026,8/5/2027
MICRO-L25-001058,Microbusiness,Precision Processing LLC,Rogue Gardener - Chaska Creek Cannabis,Cultivation,N/A,No,N/A,Koy Payne,koypayne@gmail.com,City of Mankato,Mankato,Blue Earth,8/5/2026,11/14/2026
MICRO-L25-001271,Microbusiness,SparkyMN LLC,Sparky Cannabis Co,Cultivation,N/A,Yes,N/A,Duane Tarjeson,sparky30@hickorytech.net,City of Mankato,Mankato,Blue Earth,8/5/2026,10/10/2026
MICRO-L25-000879,Microbusiness,Mountain Sight Vision LLC,Mountain Sight Vision LLC,Cultivation,N/A,Yes,N/A,Benjamin Kapple,benjamin@myappmgmt.com,City of Jackson,Jackson,Jackson,8/4/2026,8/7/2026
MICRO-L25-000895,Microbusiness,North Circle Seeds,North Circle Seeds,Cultivation,N/A,No,N/A,Zachary Paige,zacharypaige@gmail.com,Otter Tail County,Vergas,Otter Tail,8/4/2026,8/4/2027
MICRO-L25-001541,Microbusiness,RJ Retail LLC,RJ Retail LLC,Cultivation,N/A,No,N/A,Riley Janni,rileybrown478@gmail.com,City of Mankato,Mankato,Blue Earth,8/4/2026,8/4/2027
CUL-L24-000050,Cultivator,KYMN Holdings LLC,KYMN Holdings LLC,Cultivation,N/A,Yes,N/A,John Mackewich,"kendraacho703@yahoo.com
johnmackewich@mackewich.com",Mower County,Le Roy,Mower,8/3/2026,8/3/2027
CUL-L25-000048,Cultivator,EMMN Holdings LLC,EMMN Holdings LLC,Cultivation,N/A,Yes,N/A,John Mackewich,"licensing@mackewich.com
johnmackewich@mackewich.com",Mower County,Le Roy,Mower,8/3/2026,8/3/2027
MEZZO-L24-000306,Mezzobusiness,Medicine Lake Enterprises Inc.,Legacy Cannabis,Retail,No,Yes,"1201 DuPont Avenue N, Minneapolis, MN 55411",Josh Wilken-Simon,jwilkensimon01@gmail.com,City of Minneapolis,Minneapolis,Hennepin,8/3/2026,10/28/2026
MEZZO-L24-000361,Mezzobusiness,Smith Brothers Inc.,Smith Brothers Inc.,Cultivation,N/A,Yes,N/A,Lesley Bruner,"holyholyholy75@gmail.com
Lbruner0128@gmail.com",City of Waseca,Waseca,Waseca,8/1/2026,8/1/2027
CUL-L24-000003,Cultivator,"Best Buds, Inc.","Best Buds, Inc.",Cultivation,N/A,Yes,N/A,Jerome McGinty,"bestbudsinc.mn@gmail.com
jmcginty@mboutdoor8.com",Chisago County,Harris,Chisago,7/31/2026,7/31/2027
CUL-L24-000005,Cultivator,Green Moose Cannabis Co Inc.,Green Moose Cannabis Co Inc.,Cultivation,N/A,Yes,N/A,Jerome McGinty,"Swet.mficc@gmail.com
jmcginty@mboutdoor8.com",Chisago County,Harris,Chisago,7/31/2026,7/31/2027
CUL-L24-000042,Cultivator,JDSJMN LLC,JDSJMN LLC,Cultivation,N/A,Yes,N/A,Jeremy Brown,"jds.sanchez@hotmail.com
jbrown0625mn@gmail.com",Waseca County,Waseca,Waseca,7/31/2026,7/31/2027
MICRO-L25-001549,Microbusiness,MN Dispensary LLC,New Brighton Dispensary,Retail,No,No,"455 Old Highway 8 NW, New Brighton, MN 55112",Ali Albattat,alialbattat91@gmail.com,City of New Brighton,New Brighton,Ramsey,7/31/2026,7/31/2027
CUL-L24-000038,Cultivator,Kaps LLC,Kaps LLC,Cultivation,N/A,Yes,N/A,Josh Kasprzyk,josh@bkrsolutions.com,Chisago County,Harris,Chisago,7/30/2026,7/30/2027
MEZZO-L24-000144,Mezzobusiness,"Bull Durham Farms, Inc.","Bull Durham Farms, Inc.",Cultivation,N/A,Yes,N/A,Jerome McGinty,"lwd2295@yahoo.com
jmcginty@mboutdoor8.com",Chisago County,Harris,Chisago,7/30/2026,7/30/2027
MEZZO-L24-000216,Mezzobusiness,"Clearwater 60, Inc.","Clearwater 60, Inc.",Cultivation,N/A,Yes,N/A,Jerome McGinty,"clearwater60ln@gmail.com
jmcginty@mboutdoor8.com",Chisago County,Harris,Chisago,7/30/2026,7/30/2027
MEZZO-L24-000300,Mezzobusiness,"Swerve Farms, LLC",MnLooN,Retail,No,Yes,"8337 210th Street W, Lakeville, MN 55044",Christopher Wenzel,SwerveBeverages@gmail.com,City of Lakeville,Lakeville,Dakota,7/30/2026,2/10/2027
MICRO-L24-000333,Microbusiness,Blue Ox Cannabis Company LLC,Blue Ox Cannabis Company LLC,Retail,No,Yes,"1112 Jackson Avenue, Detroit Lakes, MN 56501",Michael Mund,kingofthetrout@yahoo.com,City of Detroit Lakes,Detroit lakes,Becker,7/30/2026,7/30/2027
MICRO-L25-000860,Microbusiness,TomJack LLC,Jazz Cabbage,Retail,No,No,"249 7th Street E, Saint Paul, MN 55101",John Whaley,john.whaley444@gmail.com,City of Saint Paul,Saint Paul,Ramsey,7/30/2026,7/30/2027
MICRO-L25-001282,Microbusiness,10000 Lakes Cannabis Company LLC,10000 Lakes Cannabis Company LLC,Retail,No,No,"202 S Minnesota Avenue, Saint Peter, MN 56082",Benjamin Ranft,benranft@gmail.com,City of Saint Peter,Saint Peter,Nicollet,7/30/2026,7/30/2027
WHLS-L25-000043,Wholesaler,Smiley L.L.C.,Smiley L.L.C.,Wholesaler,N/A,No,N/A,Zahira Aqel,smileyincmn@gmail.com,City of Blaine,Blaine,Anoka,7/29/2026,7/29/2027
MICRO-L25-001010,Microbusiness,Arborist Initiative LLC,Arborist Initiative LLC,Cultivation/Manufacturing,N/A,No,N/A,Cameron Malia,"cam.malia92@gmail.com
arboristinitiativellc@gmail.com",City of Pine City,Pine City,Pine,7/27/2026,7/27/2027
MDCMB-L25-000002,Medical Cannabis Combination Business,Vireo Health of Minnesota LLC,Green Goods,Cultivation/Manufacturing,N/A,No,N/A,Alexandra Breant,"ambershimpa@vireohealth.com
alexandrabreant@vireohealth.com",City of Elk River,Elk River,Sherburne,7/24/2026,9/15/2026
MICRO-L25-000351,Microbusiness,Northern Dispensary LLC,Northern Dispensary,Retail,No,Yes,"8101 34th Avenue S, Suite# 100 Bloomington, MN 55425",Cody Jerzak,"jjerzak11@gmail.com
cody@northerndispensaryllc.com",City of Bloomington,Bloomington,Hennepin,7/24/2026,7/24/2027
MICRO-L25-000523,Microbusiness,Irie Cannabis LLC,Irie Cannabis Dispensary,Retail,No,Yes,"5 E 38th Street, Minneapolis, MN 55409",Zachary Johnson,"tntbusinessinc@gmail.com
info@mplsdistro.com",City of Minneapolis,Minneapolis,Hennepin,7/24/2026,7/24/2027
CUL-L24-000012,Cultivator,"Cedar County Botanicals, Inc.","Cedar County Botanicals, Inc.",Cultivation,N/A,Yes,N/A,Benny Brower,bennybrower@gmail.com,Chisago County,Harris,Chisago,7/23/2026,7/23/2027
MICRO-L25-001402,Microbusiness,Larsen Gardens LLC,Larsen Gardens LLC,Cultivation,N/A,No,N/A,Chad Kranebell,larsengardensllc@gmail.com,Olmsted County,Rochester,Olmsted,7/23/2026,7/23/2027
MICRO-L25-001410,Microbusiness,Redtail Ridge Cannabis LLC,Redtail Ridge Cannabis LLC,Cultivation,N/A,No,N/A,Chad Kranebell,RedTailRidgeCannabis@gmail.com,Olmsted County,Rochester,Olmsted,7/23/2026,7/23/2027
MICRO-L25-001475,Microbusiness,Your CBD Store LLC,THE ZEN POT,Retail,No,No,"403 Highway 55 NE, Suite A Buffalo, MN 55313",Julie Harvey,julie.harvey@rocketmail.com,City of Buffalo,Buffalo,Wright,7/23/2026,7/23/2027
CUL-L24-000049,Cultivator,CYMN Holdings LLC,CYMN Holdings,Cultivation,N/A,Yes,N/A,John Mackewich,"ChrisYerm@icloud.com
johnmackewich@mackewich.com",Mower County,Le Roy,Mower,7/22/2026,7/22/2027
MICRO-L24-000481,Microbusiness,Canna Gemz LLC,Canna Gemz LLC,Retail,No,Yes,"5005 University Avenue NE, Columbia Heights, MN 55421",Cameron Perket,"cannagemz@gmail.com
cameron@cannagemz.com",City of Columbia Heights,Columbia Heights,Anoka,7/22/2026,7/22/2027
MICRO-L25-000638,Microbusiness,Hempire LLC,Hempire LLC,Cultivation,N/A,No,N/A,Shelly Buchanan,slbuchananrn@gmail.com,Fillmore County,Spring Valley,Fillmore,7/22/2026,2/4/2027
DIS-L25-000004,Retail,Best Dispensary Near Me LLC,Spark Minnesota,Retail,No,Yes,"205 Central Avenue N, Milaca, MN 56353",Amber Kent,"bestdispensarynearme@gmail.com
sparkminnesota@gmail.com",City of Milaca,Milaca,Mille Lacs,7/21/2026,7/21/2027
MICRO-L25-000592,Microbusiness,"The Herbal Care, LLC","The Herbal Care, LLC",Retail,Yes,No,"1506 11th Street N, Moorhead, MN 56560",Markel Bababekov,seventhavecleaning@gmail.com,City of Moorhead,Moorhead,Clay,7/21/2026,7/21/2027
MICRO-L24-000062,Microbusiness,Viking Green LLC,Viking Green LLC,Cultivation,N/A,No,N/A,Jeremy Hostrup,"jeni@vikinggreen.net
jeremy@vikinggreen.net",Kittson County,Lancaster,Kittson,7/20/2026,7/20/2027
MICRO-L25-000897,Microbusiness,Super Farm LLC,Super Farm LLC,Cultivation,N/A,Yes,N/A,Ryan Strand,ryan.strand05@gmail.com,Olmsted County,Rochester,Olmsted,7/20/2026,7/20/2027
MICRO-L25-001388,Microbusiness,High Hill Cannabis LLC,High Hill Cannabis LLC,Cultivation,N/A,No,N/A,Chad Kranebell,"adameide8@gmail.com
chad@cannaparkmn.com",Olmsted County,Rochester,Olmsted,7/20/2026,7/20/2027
MICRO-L25-000841,Microbusiness,NPOTS LLC,NPOTS LLC,Cultivation,N/A,No,N/A,Frank Little,frankdl3@yahoo.com,City of Mankato,Mankato,Blue Earth,7/17/2026,7/17/2027
MICRO-L25-001453,Microbusiness,Mary Jane's Dispensary LLC,Mary Jane's Dispensary LLC,Retail,No,No,"21564 MN-78, Battle Lake, MN 56515",Todd Larson,tlarson56368@gmail.com,Clitherall Township,Battle Lake,Otter Tail,7/17/2026,7/17/2027
MEZZO-L24-000170,Mezzobusiness,ROLLING FIELDS FARMS LLC,ROLLING FIELDS FARMS LLC,Cultivation,N/A,Yes,N/A,Amber Anderson,Rollingfieldsfarms@gmail.com,Carlton County,Wright,Carlston,7/16/2026,7/10/2027
MICRO-L25-000432,Microbusiness,Natures Path LLC,Natures Path LLC,Cultivation,N/A,No,N/A,Cullen Hirsch,"akhil.alugupalli@gmail.com
chtwineagles@hotmail.com",Steele County,Medford,Steele,7/16/2026,7/16/2027
MICRO-L25-000465,Microbusiness,Pure Jade LLC,Pure Jade LLC,Cultivation/Manufacturing,N/A,No,N/A,Shane Krahn,shane@purejademn.com,City of Mankato,Mankato,Blue Earth,7/16/2026,7/16/2027
MICRO-L25-001055,Microbusiness,B & D Cannabis,B & D Cannabis,Retail,No,Yes,"410 Main Street W, Suite# 100 New Prague, MN 56071",Blake Rothnem,blakerothnem@msn.com,City of New Prague,New Prague,Scott,7/16/2026,7/16/2027
MICRO-L25-000836,Microbusiness,KOC Industries LLC,Voyager Cannabis Co,Cultivation,N/A,Yes,N/A,John Dinse,john.dinse1@gmail.com,City of Mankato,Mankato,Blue Earth,7/15/2026,9/10/2026
